label	cell_type
SC_96330_70_3	cHF	SMC
SC_96330_68_20	cHF	EC
SC_96330_29_38	cHF	FB
SC_96330_64_34	cHF	EC
SC_96330_35_28	cHF	EC
SC_96330_70_65	cHF	EC
SC_96330_35_17	cHF	EC
SC_96330_33_20	cHF	EC
SC_96330_67_60	cHF	EC
SC_96330_64_15	cHF	MP
SC_96330_63_3	cHF	EC
SC_96330_31_43	cHF	EC
SC_96330_67_5	cHF	FB
SC_96330_69_58	cHF	EC
SC_96330_64_59	cHF	EC
SC_96330_71_32	cHF	EC
SC_96330_68_5	cHF	MP
SC_96330_63_67	cHF	EC
SC_96330_69_47	cHF	SMC
SC_96330_63_48	cHF	EC
SC_96330_31_19	cHF	EC
SC_96330_67_64	cHF	SMC
SC_96330_35_8	cHF	EC
SC_96330_29_46	cHF	EC
SC_96330_35_30	cHF	EC
SC_96330_33_62	cHF	EC
SC_96330_34_0	cHF	EC
SC_96330_63_23	cHF	EC
SC_96330_30_30	cHF	EC
SC_96330_71_27	cHF	EC
SC_96330_27_40	cHF	EC
SC_96330_66_14	cHF	EC
SC_96330_71_39	cHF	FB
SC_96330_28_29	cHF	SMC
SC_96330_63_25	cHF	EC
SC_96330_32_29	cHF	SMC
SC_96330_71_28	cHF	EC
SC_96330_69_17	cHF	MP
SC_96330_67_6	cHF	EC
SC_96330_66_25	cHF	EC
SC_96330_71_22	cHF	EC
SC_96330_70_59	cHF	SMC
SC_96330_30_63	cHF	SMC
SC_96330_71_10	cHF	EC
SC_96330_32_39	cHF	SMC
SC_96330_33_24	cHF	EC
SC_96330_34_10	cHF	EC
SC_96330_30_38	cHF	SMC
SC_96330_69_42	cHF	EC
SC_96330_68_33	cHF	EC
SC_96330_32_44	cHF	EC
SC_96330_34_3	cHF	EC
SC_96330_66_51	cHF	EC
SC_96330_27_28	cHF	EC
SC_96330_68_29	cHF	EC
SC_96330_68_27	cHF	EC
SC_96330_68_14	cHF	SMC
SC_96330_64_19	cHF	EC
SC_96330_64_29	cHF	EC
SC_96330_69_8	cHF	EC
SC_96330_30_22	cHF	SMC
SC_96330_66_33	cHF	EC
SC_96330_27_42	cHF	EC
SC_96330_64_27	cHF	SMC
SC_96330_32_61	cHF	EC
SC_96330_65_36	cHF	EC
SC_96330_31_64	cHF	EC
SC_96330_27_23	cHF	SMC
SC_96330_34_6	cHF	FB
SC_96330_27_14	cHF	EC
SC_96330_28_70	cHF	EC
SC_96330_33_48	cHF	SMC
SC_96330_65_5	cHF	EC
SC_96330_27_27	cHF	EC
